,eps,minsample,metric,轮廓系数,word,dataset
113,15,4,euclidean,0.0002619731094009446,你们,tieba
114,16,4,euclidean,0.18427754282286843,你们,tieba
115,17,4,euclidean,0.24343411279445332,你们,tieba
116,18,4,euclidean,0.24300281946703467,你们,tieba
117,19,4,euclidean,0.23943918027582642,你们,tieba
118,20,4,euclidean,0.2619824287410248,你们,tieba
119,21,4,euclidean,0.2619824287410248,你们,tieba
120,22,4,-1,-1,你们,tieba
121,23,4,-1,-1,你们,tieba
122,24,4,-1,-1,你们,tieba
123,25,4,-1,-1,你们,tieba
124,26,4,-1,-1,你们,tieba
125,27,4,-1,-1,你们,tieba
126,28,4,-1,-1,你们,tieba
127,29,4,-1,-1,你们,tieba
128,14,4,euclidean,-0.13019503557014134,中国,wiki
129,15,4,euclidean,-0.09029012966687847,中国,wiki
130,16,4,euclidean,-0.00834314104373511,中国,wiki
131,17,4,euclidean,0.012068644201881522,中国,wiki
132,18,4,euclidean,0.044792554826068434,中国,wiki
133,19,4,euclidean,0.17076201367458482,中国,wiki
134,20,4,euclidean,0.2261048743236901,中国,wiki
135,21,4,euclidean,0.30429038818690746,中国,wiki
136,22,4,euclidean,0.32187080301200616,中国,wiki
137,23,4,euclidean,0.3337400554348781,中国,wiki
138,24,4,euclidean,0.3570049006800491,中国,wiki
139,25,4,euclidean,0.31707006717720093,中国,wiki
140,26,4,euclidean,0.31438038622316955,中国,wiki
141,27,4,euclidean,0.3126766381573283,中国,wiki
142,28,4,-1,-1,中国,wiki
143,29,4,-1,-1,中国,wiki
144,14,4,euclidean,-0.14418334356455786,中国,PKU
145,15,4,euclidean,-0.08684687515347042,中国,PKU
146,16,4,euclidean,-0.04843277912070042,中国,PKU
147,17,4,euclidean,0.1423971847908114,中国,PKU
148,18,4,euclidean,0.19660992055136636,中国,PKU
149,19,4,euclidean,0.2556522332557157,中国,PKU
150,20,4,euclidean,0.28013997494618464,中国,PKU
151,21,4,euclidean,0.30482154337911266,中国,PKU
152,22,4,euclidean,0.3359906400343486,中国,PKU
153,23,4,euclidean,0.2864275785827522,中国,PKU
154,24,4,euclidean,0.3719987311908397,中国,PKU
155,25,4,euclidean,0.3686494199577986,中国,PKU
156,26,4,euclidean,0.40692078914922974,中国,PKU
157,27,4,euclidean,0.41889803367305667,中国,PKU
158,28,4,euclidean,0.4413689992888552,中国,PKU
159,29,4,euclidean,0.4413689992888552,中国,PKU
160,14,4,euclidean,0.19037493558720375,中国,anwang
161,15,4,euclidean,0.2048099943298299,中国,anwang
162,16,4,euclidean,0.17638835257653854,中国,anwang
163,17,4,euclidean,0.20002151518929262,中国,anwang
164,18,4,euclidean,0.04654392554497003,中国,anwang
165,19,4,euclidean,0.04241728781526129,中国,anwang
166,20,4,euclidean,0.31583790280607704,中国,anwang
167,21,4,euclidean,0.3724564434142401,中国,anwang
168,22,4,euclidean,0.41380328260813576,中国,anwang
169,23,4,euclidean,0.44121499830628763,中国,anwang
170,24,4,euclidean,0.46180642038728736,中国,anwang
171,25,4,euclidean,0.46790284963587914,中国,anwang
172,26,4,euclidean,0.47832350537336565,中国,anwang
173,27,4,euclidean,0.51247628983704,中国,anwang
174,28,4,euclidean,0.5336055338914363,中国,anwang
175,29,4,euclidean,0.5336055338914363,中国,anwang
176,14,4,euclidean,-0.10983985888723642,中国,tieba
177,15,4,euclidean,0.03178151429848742,中国,tieba
178,16,4,euclidean,0.022156573393943696,中国,tieba
179,17,4,euclidean,0.1612180086254282,中国,tieba
180,18,4,euclidean,0.16089075017895466,中国,tieba
181,19,4,-1,-1,中国,tieba
182,20,4,-1,-1,中国,tieba
183,21,4,-1,-1,中国,tieba
184,22,4,-1,-1,中国,tieba
185,23,4,-1,-1,中国,tieba
186,24,4,-1,-1,中国,tieba
187,25,4,-1,-1,中国,tieba
188,26,4,-1,-1,中国,tieba
189,27,4,-1,-1,中国,tieba
190,28,4,-1,-1,中国,tieba
191,29,4,-1,-1,中国,tieba
192,14,4,euclidean,-0.02054045036921688,工作,wiki
193,15,4,euclidean,-0.03684460977167714,工作,wiki
194,16,4,euclidean,-0.01747140468940579,工作,wiki
195,17,4,euclidean,0.061991115323602373,工作,wiki
196,18,4,euclidean,0.1102591308975055,工作,wiki
197,19,4,euclidean,0.13768368616135965,工作,wiki
198,20,4,euclidean,0.170675196592458,工作,wiki
199,21,4,euclidean,0.20119179878543234,工作,wiki
200,22,4,euclidean,0.22191840282330774,工作,wiki
201,23,4,euclidean,0.24102971758079852,工作,wiki
202,24,4,euclidean,0.2486473346116029,工作,wiki
203,25,4,euclidean,0.2051153416136574,工作,wiki
204,26,4,-1,-1,工作,wiki
205,27,4,-1,-1,工作,wiki
206,28,4,-1,-1,工作,wiki
207,29,4,-1,-1,工作,wiki
208,14,4,euclidean,-0.06251221306521097,工作,PKU
209,15,4,euclidean,-0.015589789194552678,工作,PKU
210,16,4,euclidean,-0.0058651345552081765,工作,PKU
211,17,4,euclidean,0.05877947437490224,工作,PKU
212,18,4,euclidean,0.12829713948376706,工作,PKU
213,19,4,euclidean,0.14391506981312585,工作,PKU
214,20,4,euclidean,0.1449337582274725,工作,PKU
215,21,4,euclidean,0.3298873197084777,工作,PKU
216,22,4,euclidean,0.375944287549166,工作,PKU
217,23,4,euclidean,0.46593205718810404,工作,PKU
218,24,4,euclidean,0.47812934297948706,工作,PKU
219,25,4,euclidean,0.4748512291613314,工作,PKU
220,26,4,euclidean,0.475263676353901,工作,PKU
221,27,4,euclidean,0.475263676353901,工作,PKU
222,28,4,euclidean,0.475263676353901,工作,PKU
223,29,4,euclidean,0.475263676353901,工作,PKU
224,14,4,euclidean,-0.07523888091702169,工作,anwang
225,15,4,euclidean,-0.043582117186056805,工作,anwang
226,16,4,euclidean,-0.045183551149337586,工作,anwang
227,17,4,euclidean,0.08401533892592077,工作,anwang
228,18,4,euclidean,0.055280593951419814,工作,anwang
229,19,4,euclidean,0.19139555495348207,工作,anwang
230,20,4,euclidean,0.2629381062433138,工作,anwang
231,21,4,euclidean,0.3551262254059302,工作,anwang
232,22,4,euclidean,0.37129766323378804,工作,anwang
233,23,4,euclidean,0.4341636605017642,工作,anwang
234,24,4,euclidean,0.4341636605017642,工作,anwang
235,25,4,euclidean,0.4729611092099599,工作,anwang
236,26,4,euclidean,0.5414215401579727,工作,anwang
237,27,4,euclidean,0.5414215401579727,工作,anwang
238,28,4,euclidean,0.5414215401579727,工作,anwang
239,29,4,euclidean,0.5414215401579727,工作,anwang
240,14,4,euclidean,0.006155530701988418,工作,tieba
241,15,4,euclidean,-0.001043889313738454,工作,tieba
242,16,4,euclidean,0.0984732459811277,工作,tieba
243,17,4,euclidean,0.22615666125411127,工作,tieba
244,18,4,euclidean,0.22624324621726166,工作,tieba
245,19,4,euclidean,0.22624324621726166,工作,tieba
246,20,4,euclidean,0.26034283946187353,工作,tieba
247,21,4,-1,-1,工作,tieba
248,22,4,-1,-1,工作,tieba
249,23,4,-1,-1,工作,tieba
250,24,4,-1,-1,工作,tieba
251,25,4,-1,-1,工作,tieba
252,26,4,-1,-1,工作,tieba
253,27,4,-1,-1,工作,tieba
254,28,4,-1,-1,工作,tieba
255,29,4,-1,-1,工作,tieba
